gene,chr,start,end,strand
FRMD6-AS2,chr14,51599952,51600952,-
DLGAP5,chr14,55191608,55192608,-
PRKCH-AS1,chr14,61322838,61323838,-
KCNH5,chr14,63102037,63103037,-
NRXN3,chr14,78169373,78170373,+
IFI27,chr14,94103836,94104836,+
LINC01550,chr14,97978124,97979124,-
MEG3,chr14,100778410,100779410,+
MEG8,chr14,100893770,100894770,+
ZBTB42,chr14,104799596,104800596,+
HERC2P2,chr15,22494570,22495570,+
GOLGA6L2,chr15,23447243,23448243,-
PWRN4,chr15,23911411,23912411,+
PWRN1,chr15,24100827,24101827,+
ATP10A,chr15,25865184,25866184,-
CHRNA7,chr15,31922438,31923438,+
LINC02345,chr15,37979676,37980676,+
BUB1B,chr15,40160023,40161023,+
ANKRD63,chr15,40283064,40284064,-
KNL1,chr15,40593020,40594020,+
RAD51,chr15,40693774,40694774,+
DLL4,chr15,40928340,40929340,+
JMJD7-PLA2G4B,chr15,41827095,41828095,+
SPTBN5,chr15,41894053,41895053,-
CAPN3,chr15,42358498,42359498,+
RNU6-353P,chr15,43701363,43702363,+
WDR76,chr15,43825980,43826980,+
LYSMD2,chr15,51751585,51752585,-
LINC00926,chr15,57299365,57300365,+
AQP9,chr15,58137169,58138169,+
FOXB1,chr15,60003234,60004234,+
IGDCC3,chr15,65378002,65379002,-
CALML4,chr15,68206079,68207079,-
KIF23,chr15,69413246,69414246,+
ISLR2,chr15,74099311,74100311,+
CCDC33,chr15,74201705,74202705,+
CYP11A1,chr15,74367646,74368646,-
ADAMTSL3,chr15,83653088,83654088,+
ISG20,chr15,88634670,88635670,+
HAPLN3,chr15,88895597,88896597,-
KRT18P47,chr15,88959070,88960070,+
FANCI,chr15,89242945,89243945,+
TICRR,chr15,89574469,89575469,+
KIF7,chr15,89655467,89656467,-
IDH2-DT,chr15,90101649,90102649,+
BLM,chr15,90716346,90717346,+
LETR1,chr15,95327129,95328129,-
TEDC2,chr16,2459086,2460086,+
PKMYT1,chr16,2980479,2981479,-
RBFOX1,chr16,5238802,5239802,+
LINC02177,chr16,9354588,9355588,+
GRIN2A,chr16,10182928,10183928,-
EMP2,chr16,10580632,10581632,-
RMI2,chr16,11248619,11249619,+
PKD1P2,chr16,16355224,16356224,+
PKD1P4,chr16,18352476,18353476,-
ACSM2A,chr16,20450461,20451461,+
PLK1,chr16,23676656,23677656,+
IL21R,chr16,27401174,27402174,+
RNY1P10,chr16,28182318,28183318,+
IL27,chr16,28512051,28513051,-
SHCBP1,chr16,46621379,46622379,-
ORC6,chr16,46688643,46689643,+
ADCY7,chr16,50245137,50246137,+
SNX20,chr16,50681353,50682353,-
NOD2,chr16,50692588,50693588,+
CYLD-AS1,chr16,50742815,50743815,-
MMP2-AS1,chr16,55462297,55463297,-
SLC6A2,chr16,55654988,55655988,+
GNAO1-DT,chr16,56191118,56192118,-
GNAO1,chr16,56190390,56191390,+
CETP,chr16,56960923,56961923,+
NLRC5,chr16,56988485,56989485,+
RPL23AP91,chr16,57320352,57321352,+
CDH5,chr16,66365622,66366622,+
CES4A,chr16,66987589,66988589,+
HSF4,chr16,67163681,67164681,+
CDH1,chr16,68736292,68737292,+
CHTF8,chr16,69132588,69133588,-
TAT,chr16,71577092,71578092,-
HP,chr16,72053505,72054505,+
LINC01568,chr16,73385771,73386771,+
ADAMTS18,chr16,77435034,77436034,-
MAFTRR,chr16,79770651,79771651,-
ARLNC1,chr16,80892682,80893682,-
PKD1L2,chr16,81220370,81221370,-
HSD17B2,chr16,82034004,82035004,+
CDH13,chr16,82625965,82626965,+
LINC00311,chr16,85281958,85282958,+
GINS2,chr16,85690073,85691073,-
LINC02135,chr16,86285427,86286427,+
LINC02188,chr16,86709122,86710122,+
HASPIN,chr17,3722903,3723903,+
PIMREG,chr17,6443441,6444441,+
XAF1,chr17,6754447,6755447,+
PRAL,chr17,6776116,6777116,-
FBXO39,chr17,6775215,6776215,+
CLDN7,chr17,7263983,7264983,-
RN7SL442P,chr17,16190832,16191832,+
SRSF6P2,chr17,16617881,16618881,-
RN7SL620P,chr17,16709059,16710059,+
KRT17P1,chr17,16845881,16846881,-
KRT17P2,chr17,18425861,18426861,+
USP32P3,chr17,20407311,20408311,+
KRT17P6,chr17,20517479,20518479,-
RN7SL426P,chr17,21229628,21230628,-
LINC01992,chr17,27991787,27992787,-
SLC46A1,chr17,28407197,28408197,-
CORO6,chr17,29622912,29623912,-
KRT17P3,chr17,30571748,30572748,-
DPRXP4,chr17,30974387,30975387,+
LINC01989,chr17,34195937,34196937,-
CCL2,chr17,34254218,34255218,+
CCL7,chr17,34269221,34270221,+
CCL8,chr17,34318435,34319435,+
CCL13,chr17,34355480,34356480,+
CCL1,chr17,34363233,34364233,-
SLC35G3,chr17,35194393,35195393,-
SLFN12,chr17,35433283,35434283,-
HEATR9,chr17,35868891,35869891,-
LRRC37A9P,chr17,35918010,35919010,-
HNF1B,chr17,37745059,37746059,-
TOP2A,chr17,40417896,40418896,-
KRT40,chr17,40987135,40988135,-
KRT16,chr17,41615899,41616899,-
DHX58,chr17,42112714,42113714,-
BRCA1,chr17,43170245,43171245,-
CCDC200,chr17,43305397,43306397,-
MEOX1,chr17,43661922,43662922,-
KIF18B,chr17,44947773,44948773,-
CDK5RAP3,chr17,47966810,47967810,+
HOXB-AS1,chr17,48542551,48543551,+
HOXB8,chr17,48615292,48616292,-
NGFR-AS1,chr17,49574064,49575064,-
EME1,chr17,50372220,50373220,+
LINC02071,chr17,51335165,51336165,-
LINC02073,chr17,51335646,51336646,+
LINC02876,chr17,52984513,52985513,+
TSPOAP1,chr17,58328795,58329795,-
TSPOAP1-AS1,chr17,58323472,58324472,+
RNU1-108P,chr17,58666697,58667697,-
BRIP1,chr17,61863559,61864559,-
MARCHF10-DT,chr17,62807500,62808500,+
SNORD104,chr17,64145083,64146083,+
LINC01482,chr17,68590796,68591796,+
LINC01483,chr17,69576251,69577251,+
KCNJ16,chr17,70052429,70053429,+
SOX9-AS1,chr17,72237203,72238203,-
SOX9,chr17,72120020,72121020,+
KIF19,chr17,74325210,74326210,+
MYO15B,chr17,75586800,75587800,+
CDK3,chr17,75999855,76000855,+
TK1,chr17,78187233,78188233,-
BIRC5,chr17,78213186,78214186,+
RNF213,chr17,80259852,80260852,+
RNF213-AS1,chr17,80415168,80416168,-
TYMS,chr18,656653,657653,+
LINC00470,chr18,1408344,1409344,-
NDC80,chr18,2570557,2571557,+
CBX3P2,chr18,2655395,2656395,-
DLGAP1-AS4,chr18,3961353,3962353,+
LINC00668,chr18,6929966,6930966,-
LAMA1,chr18,7117797,7118797,-
KIAA0895LP1,chr18,10723619,10724619,+
ANKRD20A5P,chr18,14178097,14179097,+
AQP4-AS1,chr18,26654737,26655737,+
ASXL3,chr18,33577219,33578219,+
CELF4,chr18,37565827,37566827,-
MIR924HG,chr18,39800322,39801322,-
MIR4527HG,chr18,47284725,47285725,+
POLR3GP2,chr18,48477561,48478561,+
LINC01630,chr18,51345249,51346249,+
TCF4-AS2,chr18,55491175,55492175,+
CDH7,chr18,65749252,65750252,+
LINC01896,chr18,78979074,78980074,-
SALL3,chr18,78978818,78979818,+
LINC01836,chr19,781755,782755,+
EFNA2,chr19,1284873,1285873,+
UHRF1,chr19,4902080,4903080,+
CD70,chr19,6604103,6605103,-
ADGRE4P,chr19,6997872,6998872,-
ARHGEF18-AS1,chr19,7395039,7396039,-
PRAM1,chr19,8502640,8503640,-
MUC16,chr19,8981342,8982342,-
BOLA3P2,chr19,9018344,9019344,+
OR7D4,chr19,9219589,9220589,-
ELAVL3,chr19,11481046,11482046,-
CNN1,chr19,11537767,11538767,+
ZNF887P,chr19,11647364,11648364,+
DAND5,chr19,12964159,12965159,+
ASF1B,chr19,14136613,14137613,-
SLC1A6,chr19,15022990,15023990,-
OR1I1,chr19,15081211,15082211,+
OR10H5,chr19,15786661,15787661,+
LINC00661,chr19,16014287,16015287,+
CCDC194,chr19,17394158,17395158,-
SLC5A5,chr19,17870945,17871945,+
RPL7AP10,chr19,21150438,21151438,-
VN1R83P,chr19,21289998,21290998,-
ZNF724,chr19,23250394,23251394,-
LINC01533,chr19,32024808,32025808,+
FFAR2,chr19,35442907,35443907,+
LINC01766,chr19,35595581,35596581,+
MAP4K1-AS1,chr19,38595346,38596346,+
RPS29P24,chr19,39587955,39588955,+
FCGBP,chr19,39934626,39935626,-
CYP2G2P,chr19,41062444,41063444,-
CEACAM4,chr19,41627074,41628074,-
LYPD4,chr19,41844697,41845697,-
PSG2,chr19,43083045,43084045,-
HIF3A,chr19,46296042,46297042,+
PTGIR,chr19,46625089,46626089,-
CRX,chr19,47818779,47819779,+
SPACA4,chr19,48605742,48606742,+
PLEKHA4,chr19,48868617,48869617,-
SIGLEC9,chr19,51123906,51124906,+
SIGLEC10,chr19,51417803,51418803,-
FPR2,chr19,51751026,51752026,+
ZNF578,chr19,52452553,52453553,+
LILRB2,chr19,54281184,54282184,-
SIRPB2,chr20,1491587,1492587,-
SIGLEC1,chr20,3712600,3713600,-
ANKEF1,chr20,9985126,9986126,+
RIN2,chr20,19756606,19757606,+
PAX1,chr20,21704659,21705659,+
LINC00261,chr20,22578642,22579642,-
LINC01721,chr20,24062255,24063255,+
GINS1,chr20,25406673,25407673,+
AGGF1P10,chr20,29429723,29430723,+
DEFB118,chr20,31367601,31368601,+
ID1,chr20,31604283,31605283,+
TPX2,chr20,31738271,31739271,+
TSPY26P,chr20,32190527,32191527,-
BPIFB1,chr20,33272480,33273480,+
RNU4-40P,chr20,35886659,35887659,+
TLDC2,chr20,36875121,36876121,+
SAMHD1,chr20,36951893,36952893,-
FAM83D,chr20,38925312,38926312,+
PTPRT,chr20,43189970,43190970,-
MYBL2,chr20,43666019,43667019,+
JPH2,chr20,44187188,44188188,-
UBE2C,chr20,45811576,45812576,+
RN7SL636P,chr20,50429483,50430483,-
LINC01524,chr20,52191159,52192159,+
RN7SL170P,chr20,56687401,56688401,+
CTCFL,chr20,57525652,57526652,-
GNAS-AS1,chr20,58850903,58851903,-
ZNF831,chr20,59122381,59123381,+
RTEL1-TNFRSF6B,chr20,63658300,63659300,+
ANKRD20A11P,chr21,13980437,13981437,-
ABCC13,chr21,14235206,14236206,+
SAMSN1,chr21,14658821,14659821,-
MIR99AHG,chr21,15927296,15928296,+
SREK1IP1P1,chr21,19738709,19739709,+
LINC01697,chr21,28047404,28048404,+
RNF6P1,chr21,39377066,39378066,-
MX2,chr21,41360999,41361999,+
MX1,chr21,41419020,41420020,+
PWP2,chr21,44106373,44107373,+
GATD3A,chr21,44132610,44133610,+
TSPEAR,chr21,44711572,44712572,-
S100B,chr21,46605208,46606208,-
USP18,chr22,18149170,18150170,+
CDC45,chr22,19478457,19479457,+
LINC01638,chr22,27225134,27226134,-
RFPL4AP6,chr22,29431944,29432944,+
SEC14L3,chr22,30472017,30473017,-
BPIFC,chr22,32464484,32465484,-
CACNG2,chr22,36703752,36704752,-
PDXP-DT,chr22,37658377,37659377,-
SLC16A8,chr22,38084184,38085184,-
DMC1,chr22,38570204,38571204,-
APOBEC3A,chr22,38951741,38952741,+
APOBEC3B,chr22,38981347,38982347,+
FAM83F,chr22,39993954,39994954,+
LRRC37A14P,chr22,41190188,41191188,-
CENPM,chr22,41947152,41948152,-
NFAM1,chr22,42432403,42433403,-
ARHGAP8,chr22,44751558,44752558,+
GTSE1,chr22,46295870,46296870,+
SCO2,chr22,50526461,50527461,-
TLR7,chrX,12866072,12867072,+
TLR8,chrX,12905620,12906620,+
PTCHD1,chrX,23333849,23334849,+
IL1RAPL1,chrX,28586446,28587446,+
CYBB,chrX,37779059,37780059,+
GPR82,chrX,41723181,41724181,+
MIR221,chrX,45746266,45747266,-
ACTBP1,chrX,46289128,46290128,-
USP27X-DT,chrX,49879241,49880241,-
MIR223HG,chrX,66014426,66015426,+
KIF4A,chrX,70289104,70290104,+
SOCS5P4,chrX,71045470,71046470,-
ERCC6L,chrX,72239027,72240027,-
CHIC1,chrX,73562197,73563197,+
CENPI,chrX,101097188,101098188,+
TMSB15A,chrX,102516739,102517739,-
RTL9,chrX,110357816,110358816,+
PAK3,chrX,110943285,110944285,+
TMEM30BP1,chrX,118768796,118769796,+
CBLL1P1,chrX,121026563,121027563,-
SASH3,chrX,129778949,129779949,+
MIR503HG,chrX,134546642,134547642,-
RPL21P133,chrX,134606157,134607157,+
INTS6L,chrX,135519659,135520659,+
MAGEA10,chrX,152138578,152139578,-
AVPR2,chrX,153901531,153902531,+
VDAC1P6,chrY,5208069,5209069,-
LINC00279,chrY,8549518,8550518,+
PRORY,chrY,21386360,21387360,-
